data,model,loss,run_id,N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,path
lm1b,pythia,condcrossent,Run_2025_05_16_21_10_28_014971,10000000,192,160000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_16_21_10_28_014971/
lm1b,pythia,condcrossent,Run_2025_05_16_23_01_53_110665,10000000,384,80000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_16_23_01_53_110665/
lm1b,pythia,condcrossent,Run_2025_05_16_21_03_05_257553,10000000,96,320000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_16_21_03_05_257553/
lm1b,pythia,condcrossent,Run_2025_05_17_00_44_29_592730,10000000,96,80000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_00_44_29_592730/
lm1b,pythia,condcrossent,Run_2025_05_16_20_58_39_808658,10000000,6,1280000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_16_20_58_39_808658/
lm1b,pythia,condcrossent,Run_2025_05_17_01_16_35_753515,10000000,768,40000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_01_16_35_753515/
lm1b,pythia,condcrossent,Run_2025_05_17_00_50_24_015767,10000000,192,160000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_00_50_24_015767/
lm1b,pythia,condcrossent,Run_2025_05_17_02_54_17_304947,10000000,192,40000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_02_54_17_304947/
lm1b,pythia,condcrossent,Run_2025_05_17_01_40_56_948455,10000000,12,640000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_01_40_56_948455/
lm1b,pythia,condcrossent,Run_2025_05_17_04_06_06_872998,10000000,24,320000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_04_06_06_872998/
lm1b,pythia,condcrossent,Run_2025_05_16_19_08_35_311891,10000000,12,2560000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_16_19_08_35_311891/
lm1b,pythia,condcrossent,Run_2025_05_17_05_24_06_118392,9999999999999,6,320000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_05_24_06_118392/
lm1b,pythia,condcrossent,Run_2025_05_17_05_31_10_336934,10000000,24,1280000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_05_31_10_336934/
lm1b,pythia,condcrossent,Run_2025_05_17_10_57_14_889540,10000000,48,640000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_17_10_57_14_889540/
lm1b,pythia,condcrossent,Run_2025_05_20_19_11_06_778619,16000000,128,150000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_19_11_06_778619/
lm1b,pythia,condcrossent,Run_2025_05_20_19_02_54_054196,2000000,128,300000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_19_02_54_054196/
