N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D
16000000,2702,69880906573.67778,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,15830784,9938836785.847118
32000000,1873,3860720006.955941,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,32370176,4861155339.038009
64000000,1485,280984618.3029226,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,61831680,2545102968.575332
128000000,1035,13739644.797933634,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,130200000,1207859435.9447005
256000000,804,1405608.7164196991,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,228845760,687861532.5885872
512000000,612,64409.07533915561,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000,489658880,321251605.8199537
8000000,1937,3616193286.703286,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,8221760,4783235776.281477
16000000,1477,254651670.24094853,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,15830784,2483998771.002118
32000000,1024,14059701.727535712,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,32370176,1214747797.4787657
64000000,812,1024137.1729885732,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,61831680,636125499.9378959
128000000,566,50142.66991423652,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,130200000,301989082.6420891
256000000,439,5115.148253211954,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000,228845760,171858135.22610164
