N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
100000000,48,40000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,96,20000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,192,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,384,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,768,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,1536,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,3072,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,6144,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,12288,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,24576,78,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",147000000
100000000,48,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,96,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,192,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,384,1250,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,768,625,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,1536,313,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,3072,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,6144,78,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,12288,39,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",36800000
100000000,24,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,48,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,96,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,192,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,384,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,768,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,1536,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
100000000,3072,39,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000
