N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
10000000,384,320000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,768,160000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,1536,80000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,3072,40000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,6144,20000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,12288,10000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,24576,5000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,96,320000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,192,160000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,384,80000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,768,40000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,1536,20000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,3072,10000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,6144,5000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,24,320000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,48,160000,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,96,80000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,192,40000,1.999,0.1,0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
