N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
1000000,848,6201,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
2000000,578,3772,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
4000000,428,2563,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
8000000,334,1856,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
16000000,244,1237,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
32000000,185,862,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
64000000,133,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
250000,865,6368,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
500000,610,4055,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
1000000,463,2838,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
2000000,316,1724,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
4000000,234,1171,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
8000000,183,847,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
16000000,134,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,48,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,96,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,192,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,384,1250,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,768,625,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,1536,313,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,3072,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,6144,78,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,12288,39,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,24,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,48,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,96,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,192,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,384,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,768,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,1536,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,3072,39,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
