N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
2000000,324,107870,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
4000000,251,70024,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
8000000,204,48747,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
16000000,156,31007,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
32000000,124,20654,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
64000000,94,12808,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
128000000,74,8570,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
256000000,57,5330,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
2000000,194,45039,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
4000000,151,29099,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
8000000,122,20378,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
16000000,94,12864,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
32000000,74,8654,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
64000000,56,5375,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
128000000,44,3603,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
256000000,34,2234,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
1000000,161,32701,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
2000000,117,18670,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
4000000,91,12071,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
8000000,74,8400,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
16000000,56,5399,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
32000000,45,3557,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
64000000,34,2213,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
