N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
8000000,2046,19444,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
16000000,1495,12943,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
32000000,1133,9042,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
64000000,816,5903,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
128000000,617,4110,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
256000000,448,2713,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
16000000,2734,28318,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
32000000,2073,19776,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
64000000,1492,12918,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
128000000,1128,8993,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
256000000,819,5940,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
512000000,599,3952,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
