N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D,R,type,split
16250000,768,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,32000000000,1969,IsoFLOP,Train
32500000,768,10173,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,16000000000,492,IsoFLOP,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoFLOP,Train
130000000,768,2543,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,4000000000,31,IsoFLOP,Train
260000000,768,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,2000000000,8,IsoFLOP,Train
65000000,49152,79,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,12288,318,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,3072,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,192,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,48,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
20155644,768,35965,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,56568542496,2807,IsoFLOP,Train
40311289,768,17983,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,28284271248,702,IsoFLOP,Train
80622577,768,8991,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoFLOP,Train
161245154,768,4496,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,7071067812,44,IsoFLOP,Train
322490308,768,2248,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,3535533906,11,IsoFLOP,Train
25000000,768,63578,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,100000000000,4000,IsoFLOP,Train
50000000,768,31789,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,50000000000,1000,IsoFLOP,Train
100000000,768,15895,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoFLOP,Train
200000000,768,7947,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,12500000000,63,IsoFLOP,Train
400000000,768,3974,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,6250000000,16,IsoFLOP,Train
33541020,768,75227,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,118321595660,3528,IsoFLOP,Train
67082040,768,37613,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,59160797830,882,IsoFLOP,Train
134164079,768,18807,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoFLOP,Train
268328158,768,9403,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,14790199457.5,55,IsoFLOP,Train
536656316,768,4702,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,7395099728.75,14,IsoFLOP,Train
45000000,768,89010,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,140000000000,3111,IsoFLOP,Train
90000000,768,44505,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,70000000000,778,IsoFLOP,Train
180000000,768,22252,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoFLOP,Train
360000000,768,11126,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,17500000000,49,IsoFLOP,Train
720000000,768,5563,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,8750000000,12,IsoFLOP,Train
80622577,49152,140,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
80622577,12288,562,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
80622577,3072,2248,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
80622577,768,8991,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
80622577,192,35965,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
80622577,48,143861,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,14142135624,175,IsoToken,Train
100000000,49152,248,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
100000000,12288,993,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
100000000,3072,3974,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
100000000,768,15895,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
100000000,192,63578,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
100000000,48,254313,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,25000000000,250,IsoToken,Train
134164079,49152,294,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
134164079,12288,1175,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
134164079,3072,4702,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
134164079,768,18807,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
134164079,192,75227,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
134164079,48,300907,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",28284271247.4619,134164079,29580398915,220,IsoToken,Train
180000000,49152,348,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
180000000,12288,1391,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
180000000,3072,5563,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
180000000,768,22252,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
180000000,192,89010,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
180000000,48,356038,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",40000000000,180000000,35000000000,194,IsoToken,Train
194422221,49152,455,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
194422221,12288,1821,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
194422221,3072,7284,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
194422221,768,29135,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
194422221,192,116541,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
194422221,48,466164,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",56568542494.9238,194422221,45825756950,236,IsoToken,Test
210000000,49152,596,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
210000000,12288,2384,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
210000000,3072,9537,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
210000000,768,38147,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
210000000,192,152588,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
210000000,48,610352,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",80000000000,210000000,60000000000,286,IsoToken,Test
