N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D,R,type,split
4062500,48,2,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,4062500,80000000000,7876,IsoFLOP,Train
4062500,768,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,4062500,80000000000,7876,IsoFLOP,Train
4062500,768,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,4062500,32000000000,7877,IsoFLOP,Train
8125000,768,10173,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,8125000,16000000000,1969,IsoFLOP,Train
16250000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoFLOP,Train
32500000,768,2543,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,32500000,4000000000,123,IsoFLOP,Train
65000000,768,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,65000000,2000000000,31,IsoFLOP,Train
8125000,768,40690,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,64000000000,7877,IsoFLOP,Train
16250000,768,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,32000000000,1969,IsoFLOP,Train
32500000,768,10173,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,16000000000,492,IsoFLOP,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoFLOP,Train
130000000,768,2543,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,4000000000,31,IsoFLOP,Train
260000000,768,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,2000000000,8,IsoFLOP,Train
50000000,768,31789,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,50000000000,1000,IsoFLOP,Test
200000000,768,7947,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,12500000000,63,IsoFLOP,Test
800000000,768,1987,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,6250000000,4,IsoFLOP,Test
12500000,768,127156,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",20000000000,100000000,100000000000,16000,IsoFLOP,Test
65000000,24576,318,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",125000000,65000000,16000000000,246,IsoToken,Test
65000000,6144,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",125000000,65000000,16000000000,246,IsoToken,Test
65000000,1536,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",125000000,65000000,16000000000,246,IsoToken,Test
65000000,384,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",125000000,65000000,16000000000,246,IsoToken,Test
65000000,96,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",125000000,65000000,16000000000,246,IsoToken,Test
65000000,6144,159,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",500000000,65000000,2000000000,31,IsoToken,Train
65000000,1536,636,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",500000000,65000000,2000000000,31,IsoToken,Train
65000000,384,2543,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",500000000,65000000,2000000000,31,IsoToken,Train
65000000,96,10173,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",500000000,65000000,2000000000,31,IsoToken,Train
65000000,24,40690,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",500000000,65000000,2000000000,31,IsoToken,Train
16250000,12288,318,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoToken,Train
16250000,3072,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoToken,Train
16250000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoToken,Train
16250000,192,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoToken,Train
16250000,48,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",2000000000,16250000,8000000000,492,IsoToken,Train
65000000,49152,79,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,12288,318,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,3072,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,192,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,48,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
