N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D,R,type,split
4062500,768,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,40000000000,7876,IsoFLOP,Train
8125000,768,40690,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,16000000000,3938,IsoFLOP,Train
16250000,768,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,32000000000,1969,IsoFLOP,Train
32500000,768,10173,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,16000000000,492,IsoFLOP,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoFLOP,Train
130000000,768,2543,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,4000000000,31,IsoFLOP,Train
260000000,768,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,2000000000,8,IsoFLOP,Train
65000000,49152,79,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,12288,318,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,3072,1272,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,768,5086,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,192,20345,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
65000000,48,81380,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",8000000000,65000000,8000000000,123,IsoToken,Train
20155644,768,35965,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,56568542496,2807,IsoFLOP,Train
40311289,768,17983,0.0001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",12649110640.6735,80622577,28284271248,702,IsoFLOP,Train
