N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
32000000,13154,12461,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000
64000000,8717,8839,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000
128000000,6976,7339,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000
256000000,4115,4725,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000
512000000,2780,3405,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3780000000
16000000,8738,8857,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
32000000,6179,6632,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
64000000,4095,4704,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
128000000,2887,3514,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
256000000,1933,2515,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
512000000,1306,1812,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
8000000,6079,6543,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
16000000,4104,4715,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
32000000,2902,3530,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
64000000,1923,2504,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
128000000,1356,1870,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
256000000,908,1338,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
2000000,5665,6169,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
4000000,3895,4512,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
8000000,2856,3482,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
16000000,1928,2509,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
32000000,1363,1879,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
64000000,903,1333,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
128000000,637,996,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
256000000,427,712,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
2000000,2661,3284,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
4000000,1830,2401,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
8000000,1341,1854,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
