N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
2000000,5665,6169,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
4000000,3895,4512,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
8000000,2856,3482,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
16000000,1928,2509,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
32000000,1363,1879,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
64000000,903,1333,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
128000000,637,996,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
256000000,427,712,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
2000000,2661,3284,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
4000000,1830,2401,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
8000000,1341,1854,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
16000000,906,1335,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
32000000,640,1001,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
64000000,424,710,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
128000000,299,530,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
256000000,200,380,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
1000000,2019,2608,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
2000000,1250,1747,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
4000000,859,1279,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
8000000,630,987,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
16000000,425,711,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
32000000,301,532,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
64000000,199,378,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
250000,2071,2664,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
500000,1339,1851,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
1000000,948,1388,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
2000000,587,930,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
4000000,404,680,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
8000000,296,525,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
16000000,200,378,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
