N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D
2048000000,333,113001,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,2060953600,4816537003.453158
1024000000,426,173107,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,1051646976,9439155442.21562
512000000,552,270602,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,519186432,19119643089.594456
256000000,727,433318,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,252798416,40322879799.310135
128000000,967,709565,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,121123072,87827163058.47989
64000000,1202,1029007,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",60500000000,63790848,158318825152.5987
2048000000,200,10,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,2060953600,1204134250.8632896 
2048000000,200,47036,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,2060953600,1204134250.8632896 
1024000000,256,72015,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,1051646976,2359788860.553905
512000000,332,112479,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,519186432,4779910772.398613
256000000,436,180632,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,252798416,10080719949.827534
128000000,581,295245,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,121123072,21956790764.619972
64000000,722,428278,1.999,0.1,0.0,constant,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",15100000000,63790848,39579706288.14967
