N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,R,D,nqs_loss,actual_N,NN_loss,loss
50000000,3,80000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2604448795318604,44926976.0,1.2604448795318604,1.2604448795318604
50000000,6,40000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.26002836227417,44926976.0,1.26002836227417,1.26002836227417
50000000,12,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2597500085830688,44926976.0,1.2597500085830688,1.2597500085830688
50000000,24,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2733800411224363,44926976.0,1.2733800411224363,1.2733800411224363
50000000,48,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2783803939819336,44926976.0,1.2783803939819336,1.2783803939819336
50000000,96,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2897014617919922,44926976.0,1.2897014617919922,1.2897014617919922
50000000,192,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.8304,491520000,1.2990624904632568,44926976.0,1.2990624904632568,1.2990624904632568
50000000,384,626,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.84612864,492306432,1.30610191822052,44926976.0,1.30610191822052,1.30610191822052
50000000,768,312,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.81467136,490733568,1.3078124523162842,44926976.0,1.3078124523162842,1.3078124523162842
50000000,1536,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",150000000,9.81467136,490733568,1.3325670957565308,44926976.0,1.3325670957565308,1.3325670957565308
50000000,3,40000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.8304,245760000,1.274637222290039,44926976.0,1.274637222290039,1.274637222290039
50000000,6,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.8304,245760000,1.2734564542770386,44926976.0,1.2734564542770386,1.2734564542770386
50000000,48,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.8304,245760000,1.2913124561309814,44926976.0,1.2913124561309814,1.2913124561309814
50000000,384,312,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.84612864,245366784,1.3135000467300415,44926976.0,1.3135000467300415,1.3135000467300415
50000000,768,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.81467136,245366784,1.3443750143051147,44926976.0,1.3443750143051147,1.3443750143051147
50000000,1536,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",74000000,9.81467136,245366784,1.3612500429153442,44926976.0,1.3612500429153442,1.3612500429153442
50000000,1,60000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.283406138420105,44926976.0,1.283406138420105,1.283406138420105
50000000,3,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.2756474018096924,44926976.0,1.2756474018096924,1.2756474018096924
50000000,6,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.277593731880188,44926976.0,1.277593731880188,1.277593731880188
50000000,12,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.2761249542236328,44926976.0,1.2761249542236328,1.2761249542236328
50000000,24,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.2913193702697754,44926976.0,1.2913193702697754,1.2913193702697754
50000000,48,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.4576,122880000,1.297415256500244,44926976.0,1.297415256500244,1.297415256500244
50000000,96,626,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.46153216,123076608,1.3069446086883545,44926976.0,1.3069446086883545,1.3069446086883545
50000000,192,312,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.45366784,122683392,1.3153462409973145,44926976.0,1.3153462409973145,1.3153462409973145
50000000,384,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.45366784,122683392,1.3341164588928225,44926976.0,1.3341164588928225,1.3341164588928225
50000000,768,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",37000000,2.45366784,122683392,1.3776566982269287,44926976.0,1.3776566982269287,1.3776566982269287
50000000,1,15000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.4096,30720000,1.2917687892913818,44926976.0,1.2917687892913818,1.2917687892913818
50000000,3,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.6144,30720000,1.2865352630615234,44926976.0,1.2865352630615234,1.2865352630615234
50000000,6,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.6144,30720000,1.3083404302597046,44926976.0,1.3083404302597046,1.3083404302597046
50000000,12,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.6144,30720000,1.3071738481521606,44926976.0,1.3071738481521606,1.3071738481521606
50000000,24,626,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.61538304,30769152,1.3100906610488892,44926976.0,1.3100906610488892,1.3100906610488892
50000000,48,312,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.61341696,30670848,1.3178348541259766,44926976.0,1.3178348541259766,1.3178348541259766
50000000,96,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.61341696,30670848,1.3439085483551023,44926976.0,1.3439085483551023,1.3439085483551023
50000000,192,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",9200000,0.61341696,30670848,1.3689687252044678,44926976.0,1.3689687252044678,1.3689687252044678
