N,B,K,C,loss,split,type,filtered
256000000,134,564,14700000,3.829614400863648,train,isoflop,False
128000000,338,1878,59000000,2.958954095840454,train,isoflop,False
128000000,184,860,14700000,3.493612289428711,train,isoflop,False
100000000,12288,39,36800000,5.849233627319336,train,isotoken,False
100000000,6144,78,36800000,5.334190845489502,train,isotoken,False
100000000,3072,156,36800000,4.382095813751221,train,isotoken,False
100000000,1536,313,36800000,3.787111282348633,train,isotoken,False
100000000,768,625,36800000,3.3055789470672607,train,isotoken,False
100000000,384,1250,36800000,3.0801358222961426,train,isotoken,False
100000000,192,2500,36800000,3.01828670501709,train,isotoken,False
100000000,96,5000,36800000,3.037574052810669,train,isotoken,True
100000000,48,10000,36800000,3.1534311771392822,train,isotoken,True
100000000,3072,39,9200000,5.790712833404541,train,isotoken,False
100000000,1536,78,9200000,5.246085166931152,train,isotoken,False
100000000,768,156,9200000,4.438965797424316,train,isotoken,False
100000000,384,313,9200000,3.9636929035186768,train,isotoken,False
100000000,192,625,9200000,3.65630555152893,train,isotoken,False
100000000,96,1250,9200000,3.5160298347473145,train,isotoken,False
100000000,48,2500,9200000,3.5457587242126465,train,isotoken,True
100000000,24,5000,9200000,3.62518835067749,train,isotoken,True
64000000,446,2699,59000000,2.8363614082336426,train,isoflop,False
64000000,244,1232,14700000,3.2212471961975098,train,isoflop,False
64000000,133,565,3680000,3.820277452468872,train,isoflop,False
32000000,620,4135,59000000,2.767575263977051,train,isoflop,False
32000000,338,1886,14700000,3.058268547058105,train,isoflop,False
32000000,185,862,3680000,3.523257255554199,train,isoflop,False
16000000,818,5918,59000000,2.7724592685699463,train,isoflop,False
16000000,446,2705,14700000,3.008141040802002,train,isoflop,False
16000000,244,1237,3680000,3.373067617416382,train,isoflop,False
16000000,134,565,920000,3.893961191177368,train,isoflop,False
10000000,24576,78,14700000,4.875792503356934,train,isotoken,False
10000000,12288,156,14700000,4.484762668609619,train,isotoken,False
10000000,6144,313,14700000,3.871474981307984,train,isotoken,False
10000000,3072,625,14700000,3.46268081665039,train,isotoken,False
10000000,1536,1250,14700000,3.179990291595459,train,isotoken,False
10000000,768,2500,14700000,3.0484282970428467,train,isotoken,False
10000000,384,5000,14700000,2.9785048961639404,train,isotoken,False
10000000,192,10000,14700000,2.939060926437378,train,isotoken,True
10000000,96,20000,14700000,2.927408695220948,train,isotoken,True
10000000,48,40000,14700000,2.919383764266968,train,isotoken,True
10000000,12288,39,3680000,5.4544453620910645,train,isotoken,False
10000000,6144,78,3680000,4.838035106658936,train,isotoken,False
10000000,3072,156,3680000,4.439056873321533,train,isotoken,False
10000000,1536,313,3680000,3.9669268131256095,train,isotoken,False
10000000,768,625,3680000,3.574624538421631,train,isotoken,False
10000000,384,1250,3680000,3.380913496017456,train,isotoken,False
10000000,192,2500,3680000,3.2490904331207275,train,isotoken,False
10000000,96,5000,3680000,3.183351516723633,train,isotoken,False
10000000,48,10000,3680000,3.153156280517578,train,isotoken,True
10000000,3072,39,920000,5.477995872497559,train,isotoken,False
10000000,1536,78,920000,4.911468982696533,train,isotoken,False
10000000,768,156,920000,4.496960163116455,train,isotoken,False
10000000,384,313,920000,4.116951942443848,train,isotoken,False
10000000,192,625,920000,3.828984260559082,train,isotoken,False
10000000,96,1250,920000,3.652743577957153,train,isotoken,False
10000000,48,2500,920000,3.5741004943847656,train,isotoken,False
