actual_N,N,B,K,NN_loss,type,C,D,NN_loss_bin,color,NBK_product,nqs_loss
10171392.0,10000000,384,320000,2.632584571838379,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.7846946594249005
10171392.0,10000000,768,160000,2.6316826343536377,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.7804595787793627
10171392.0,10000000,1536,80000,2.637547016143799,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.778423830510386
10171392.0,10000000,3072,40000,2.64854383468628,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.7794024144760234
10171392.0,10000000,6144,20000,2.65970230102539,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.792543312051097
10171392.0,10000000,12288,10000,2.690234899520874,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.8337518717543873
10171392.0,10000000,24576,5000,2.748302698135376,NBK,960.0,15728640000,0,"(0.997341, 0.733545, 0.505167)",1249860648960000.0,2.9283723748235815
10171392.0,10000000,49152,2500,2.8607027530670166,NBK,960.0,15728640000,1,"(0.973381, 0.46152, 0.361965)",1249860648960000.0,3.0865520142918887
10171392.0,10000000,98304,1250,3.063674211502075,NBK,960.0,15728640000,2,"(0.828886, 0.262229, 0.430644)",1249860648960000.0,3.3161316551856137
10171392.0,10000000,196608,625,3.3924367427825928,NBK,960.0,15728640000,2,"(0.828886, 0.262229, 0.430644)",1249860648960000.0,3.6235628961083037
10171392.0,10000000,393216,313,3.7987852096557617,NBK,960.0,15753805824,3,"(0.594508, 0.175701, 0.501241)",1251860425998336.0,4.013942775853969
10171392.0,10000000,192,160000,2.68318772315979,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.7931732967438085
10171392.0,10000000,384,80000,2.689140558242798,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.7848398553599933
10171392.0,10000000,768,40000,2.695758581161499,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.7827825124748005
10171392.0,10000000,1536,20000,2.6975772380828857,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.7944584411869515
10171392.0,10000000,3072,10000,2.7222256660461426,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.834918776027142
10171392.0,10000000,6144,5000,2.77849555015564,NBK,240.0,3932160000,0,"(0.997341, 0.733545, 0.505167)",312465162240000.0,2.9291253610721624
10171392.0,10000000,12288,2500,2.8825876712799072,NBK,240.0,3932160000,1,"(0.973381, 0.46152, 0.361965)",312465162240000.0,3.0870541978499126
10171392.0,10000000,24576,1250,3.078185796737671,NBK,240.0,3932160000,2,"(0.828886, 0.262229, 0.430644)",312465162240000.0,3.3164716830940177
10171392.0,10000000,49152,625,3.419505834579468,NBK,240.0,3932160000,2,"(0.828886, 0.262229, 0.430644)",312465162240000.0,3.6237834398654076
10171392.0,10000000,98304,312,3.861030340194702,NBK,240.0,3925868544,3,"(0.594508, 0.175701, 0.501241)",311965217980416.0,4.016090921824332
10171392.0,10000000,196608,156,4.370802879333496,NBK,240.0,3925868544,4,"(0.372116, 0.092816, 0.499053)",311965217980416.0,4.4989641857377
10171392.0,10000000,48,160000,2.7705628871917725,NBK,60.0,983040000,0,"(0.997341, 0.733545, 0.505167)",78116290560000.0,2.844027448958655
10171392.0,10000000,96,80000,2.7687368392944336,NBK,60.0,983040000,0,"(0.997341, 0.733545, 0.505167)",78116290560000.0,2.8105037783935574
10171392.0,10000000,192,40000,2.775090217590332,NBK,60.0,983040000,0,"(0.997341, 0.733545, 0.505167)",78116290560000.0,2.7963028624333663
10171392.0,10000000,384,20000,2.78394103050232,NBK,60.0,983040000,0,"(0.997341, 0.733545, 0.505167)",78116290560000.0,2.8021189475822093
10171392.0,10000000,768,10000,2.797574281692505,NBK,60.0,983040000,0,"(0.997341, 0.733545, 0.505167)",78116290560000.0,2.839586390330555
