actual_N,N,B,K,NN_loss,type
63790848.0,64000000,9134,135200,2.207321882247925,isoflops
121123072.0,128000000,6909,94137,2.1008901596069336,isoflops
252798416.0,256000000,5014,62150,2.02454137802124,isoflops
519186432.0,512000000,3665,41399,1.985023856163025,isoflops
1051646976.0,1024000000,2695,27794,1.973216772079468,isoflops
2060953600.0,2048000000,2011,19007,2.1012773513793945,isoflops
63790848.0,64000000,4990,61766,2.2394676208496094,isoflops
121123072.0,128000000,3775,43003,2.160145998001098,isoflops
252798416.0,256000000,2740,28383,2.116562366485596,isoflops
519186432.0,512000000,2003,18908,2.1188433170318604,isoflops
1051646976.0,1024000000,1473,12693,2.162545919418335,isoflops
2060953600.0,2048000000,1099,8681,2.709017276763916,isoflops
29987232.0,32000000,3793,43278,2.39976167678833,isoflops
63790848.0,64000000,2730,28263,2.3070130348205566,isoflops
121123072.0,128000000,2065,19674,2.2616961002349854,isoflops
252798416.0,256000000,1499,12992,2.251399517059326,isoflops
519186432.0,512000000,1095,8654,2.2939155101776123,isoflops
15877200.0,16000000,2734,28318,2.562262296676636,isoflops
29987232.0,32000000,2073,19776,2.475144624710083,isoflops
63790848.0,64000000,1492,12918,2.410891532897949,isoflops
121123072.0,128000000,1128,8993,2.3970651626586914,isoflops
252798416.0,256000000,819,5940,2.441052198410034,isoflops
519186432.0,512000000,599,3952,2.6404452323913574,isoflops
7723008.0,8000000,2046,19444,2.747063398361206,isoflops
15877200.0,16000000,1495,12943,2.638253927230835,isoflops
29987232.0,32000000,1133,9042,2.582885265350342,isoflops
63790848.0,64000000,816,5903,2.570287704467773,isoflops
121123072.0,128000000,617,4110,2.6198623180389404,isoflops
252798416.0,256000000,448,2713,2.78518295288086,isoflops
2197440.0,2000000,1934,18074,3.1012086868286133,isoflops
4369568.0,4000000,1434,12258,2.9406659603118896,isoflops
7723008.0,8000000,1119,8890,2.840320348739624,isoflops
15877200.0,16000000,818,5918,2.7724592685699463,isoflops
29987232.0,32000000,620,4135,2.767575263977051,isoflops
63790848.0,64000000,446,2699,2.8363614082336426,isoflops
121123072.0,128000000,338,1878,2.958954095840454,isoflops
252798416.0,256000000,245,1242,3.295794010162353,isoflops
2197440.0,2000000,1056,8246,3.190852642059326,isoflops
4369568.0,4000000,783,5594,3.0600175857543945,isoflops
7723008.0,8000000,611,4057,3.011070251464844,isoflops
15877200.0,16000000,446,2705,3.008141040802002,isoflops
29987232.0,32000000,338,1886,3.058268547058105,isoflops
