actual_N,N,B,K,NN_loss,type
63790848,64000000,9134,135200,2.207321882247925,isoflops
121123072,128000000,6909,94137,2.1008901596069336,isoflops
252798416,256000000,5014,62150,2.02454137802124,isoflops
519186432,512000000,3665,41399,1.985023856163025,isoflops
1051646976,1024000000,2695,27794,1.973216772079468,isoflops
2060953600,2048000000,2011,19007,2.1012773513793945,isoflops
63790848,64000000,4990,61766,2.2394676208496094,isoflops
121123072,128000000,3775,43003,2.160145998001098,isoflops
252798416,256000000,2740,28383,2.116562366485596,isoflops
519186432,512000000,2003,18908,2.1188433170318604,isoflops
1051646976,1024000000,1473,12693,2.162545919418335,isoflops
2060953600,2048000000,1099,8681,2.709017276763916,isoflops
29987232,32000000,3793,43278,2.39976167678833,isoflops
63790848,64000000,2730,28263,2.3070130348205566,isoflops
121123072,128000000,2065,19674,2.2616961002349854,isoflops
252798416,256000000,1499,12992,2.251399517059326,isoflops
519186432,512000000,1095,8654,2.2939155101776123,isoflops
15877200,16000000,2734,28318,2.562262296676636,isoflops
29987232,32000000,2073,19776,2.475144624710083,isoflops
63790848,64000000,1492,12918,2.410891532897949,isoflops
121123072,128000000,1128,8993,2.3970651626586914,isoflops
252798416,256000000,819,5940,2.441052198410034,isoflops
519186432,512000000,599,3952,2.6404452323913574,isoflops
7723008,8000000,2046,19444,2.747063398361206,isoflops
15877200,16000000,1495,12943,2.638253927230835,isoflops
29987232,32000000,1133,9042,2.582885265350342,isoflops
63790848,64000000,816,5903,2.570287704467773,isoflops
121123072,128000000,617,4110,2.6198623180389404,isoflops
252798416,256000000,448,2713,2.78518295288086,isoflops
2197440,2000000,1934,18074,3.1012086868286133,isoflops
4369568,4000000,1434,12258,2.9406659603118896,isoflops
7723008,8000000,1119,8890,2.840320348739624,isoflops
15877200,16000000,818,5918,2.7724592685699463,isoflops
29987232,32000000,620,4135,2.767575263977051,isoflops
63790848,64000000,446,2699,2.8363614082336426,isoflops
121123072,128000000,338,1878,2.958954095840454,isoflops
252798416,256000000,245,1242,3.295794010162353,isoflops
2197440,2000000,1056,8246,3.190852642059326,isoflops
4369568,4000000,783,5594,3.0600175857543945,isoflops
7723008,8000000,611,4057,3.011070251464844,isoflops
15877200,16000000,446,2705,3.008141040802002,isoflops
29987232,32000000,338,1886,3.058268547058105,isoflops
63790848,64000000,244,1232,3.2212471961975098,isoflops
121123072,128000000,184,860,3.493612289428711,isoflops
252798416,256000000,134,564,3.829614400863648,isoflops
911712,1000000,848,6201,3.5142624378204346,isoflops
2197440,2000000,578,3772,3.330634832382202,isoflops
4369568,4000000,428,2563,3.27344274520874,isoflops
7723008,8000000,334,1856,3.3205113410949707,isoflops
15877200,16000000,244,1237,3.373067617416382,isoflops
29987232,32000000,185,862,3.523257255554199,isoflops
63790848,64000000,133,565,3.820277452468872,isoflops
217472,250000,865,6368,4.1438822746276855,isoflops
484096,500000,610,4055,3.869227886199951,isoflops
911712,1000000,463,2838,3.675530910491944,isoflops
2197440,2000000,316,1724,3.616412401199341,isoflops
4369568,4000000,234,1171,3.6576504707336426,isoflops
7723008,8000000,183,847,3.763655185699463,isoflops
15877200,16000000,134,565,3.893961191177368,isoflops
7723008,8000000,768,51200,2.733182668685913,NBK
7723008,8000000,1536,25600,2.744407892227173,NBK
7723008,8000000,3072,12800,2.7561049461364746,NBK
15877200,16000000,384,51200,2.623086929321289,NBK
15877200,16000000,768,25600,2.6229968070983887,NBK
15877200,16000000,1536,12800,2.6403305530548096,NBK
15877200,16000000,3072,6400,2.669450759887696,NBK
29987232,32000000,192,51200,2.563207626342773,NBK
29987232,32000000,384,25600,2.567275047302246,NBK
29987232,32000000,768,12800,2.5800487995147705,NBK
29987232,32000000,1536,6400,2.599734306335449,NBK
29987232,32000000,3072,3200,2.6600828170776367,NBK
63790848,64000000,96,51200,2.551641702651977,NBK
63790848,64000000,192,25600,2.5418701171875,NBK
63790848,64000000,384,12800,2.543448209762573,NBK
63790848,64000000,768,6400,2.5635502338409424,NBK
63790848,64000000,1536,3200,2.6087183952331543,NBK
63790848,64000000,3072,1600,2.7212584018707275,NBK
121123072,128000000,48,51200,2.7338509559631348,NBK
121123072,128000000,96,25600,2.624451160430908,NBK
121123072,128000000,192,12800,2.593287706375122,NBK
121123072,128000000,384,6400,2.600717782974243,NBK
121123072,128000000,768,3200,2.643631935119629,NBK
121123072,128000000,1536,1600,2.728762626647949,NBK
252798416,256000000,24,51200,3.483883857727051,NBK
252798416,256000000,48,25600,3.2656121253967285,NBK
252798416,256000000,96,12800,2.905355453491211,NBK
252798416,256000000,192,6400,2.747541904449463,NBK
252798416,256000000,384,3200,2.7557592391967773,NBK
252798416,256000000,768,1600,2.840871572494507,NBK
519186432,512000000,24,25600,3.700432300567627,NBK
519186432,512000000,48,12800,3.4795186519622803,NBK
519186432,512000000,96,6400,3.1998720169067383,NBK
519186432,512000000,192,3200,3.1380257606506348,NBK
519186432,512000000,384,1600,3.130809783935547,NBK
63790848,64000000,136,35872,2.545034170150757,NBK
63790848,64000000,272,17936,2.542610645294189,NBK
63790848,64000000,544,8968,2.555335521697998,NBK
89396000,90509667,68,51200,2.5687270164489746,NBK
89396000,90509667,96,35872,2.563238859176636,NBK
