actual_N,N,B,K,NN_loss,type,C,D,nqs_loss,chin_loss
63790848.0,64000000,9134,135200,2.207321882247925,isoflops,61000.0,158069350400,2.332647978741721,2.3922700745305514
121123072.0,128000000,6909,94137,2.1008901596069336,isoflops,61000.0,83250244224,2.2007378758989375,2.3433600555295984
252798416.0,256000000,5014,62150,2.02454137802124,isoflops,61000.0,39887372800,2.0694862956196727,2.303190149844155
519186432.0,512000000,3665,41399,1.985023856163025,isoflops,60000.0,19421098880,1.9827348869663879,2.278830996613564
1051646976.0,1024000000,2695,27794,1.973216772079468,isoflops,60000.0,9587818240,1.9623868091723526,2.268611857402549
2060953600.0,2048000000,2011,19007,2.1012773513793945,isoflops,60000.0,4892553856,2.0053164385088884,2.271682790222373
63790848.0,64000000,4990,61766,2.2394676208496094,isoflops,15000.0,39451179520,2.3351558598004534,2.4132178177501467
121123072.0,128000000,3775,43003,2.160145998001098,isoflops,15000.0,20779049600,2.212880308773671,2.370649000985725
252798416.0,256000000,2740,28383,2.116562366485596,isoflops,15000.0,9954485760,2.1161780140043125,2.340161610551904
519186432.0,512000000,2003,18908,2.1188433170318604,isoflops,15000.0,4847708672,2.0919422534091607,2.32857430824672
1051646976.0,1024000000,1473,12693,2.162545919418335,isoflops,15000.0,2393188992,2.141410930357778,2.3351705353314625
2060953600.0,2048000000,1099,8681,2.709017276763916,isoflops,15000.0,1221173632,2.240960202743204,2.359535661112082
29987232.0,32000000,3793,43278,2.39976167678833,isoflops,3800.0,21011642112,2.5073230920616414,2.5114721715962647
63790848.0,64000000,2730,28263,2.3070130348205566,isoflops,3800.0,9876222720,2.3543945322655553,2.450248395281006
121123072.0,128000000,2065,19674,2.2616961002349854,isoflops,3800.0,5200231680,2.2654841023133505,2.4189050473759104
252798416.0,256000000,1499,12992,2.251399517059326,isoflops,3800.0,2492801024,2.2343806248721303,2.4054962788318885
519186432.0,512000000,1095,8654,2.2939155101776123,isoflops,3800.0,1212944640,2.286355719323014,2.416557440203778
15877200.0,16000000,2734,28318,2.562262296676636,isoflops,940.0,9909940736,2.668800140739296,2.622312875178536
29987232.0,32000000,2073,19776,2.475144624710083,isoflops,940.0,5247442944,2.532420351858539,2.559602480951082
63790848.0,64000000,1492,12918,2.410891532897949,isoflops,940.0,2467027968,2.421974009530131,2.5159515645539656
121123072.0,128000000,1128,8993,2.3970651626586914,isoflops,940.0,1298445312,2.3922153056700286,2.504545395339768
252798416.0,256000000,819,5940,2.441052198410034,isoflops,940.0,622702080,2.446094120469235,2.521436562555962
519186432.0,512000000,599,3952,2.6404452323913574,isoflops,940.0,303007744,2.57466514332451,2.5726118687979227
7723008.0,8000000,2046,19444,2.747063398361206,isoflops,240.0,5092150272,2.8685619661579187,2.773221394169088
15877200.0,16000000,1495,12943,2.638253927230835,isoflops,240.0,2476772480,2.7070941940165927,2.6878905698093947
29987232.0,32000000,1133,9042,2.582885265350342,isoflops,240.0,1311307008,2.608692720966423,2.6448579909664405
63790848.0,64000000,816,5903,2.570287704467773,isoflops,240.0,616556544,2.5709666131841145,2.6323376798023173
121123072.0,128000000,617,4110,2.6198623180389404,isoflops,240.0,324591360,2.620565525806251,2.6561762386980114
252798416.0,256000000,448,2713,2.78518295288086,isoflops,240.0,155574272,2.760770280683653,2.726878056080411
2197440.0,2000000,1934,18074,3.1012086868286133,isoflops,59.0,4474254848,3.2434896805544806,3.076891044867474
4369568.0,4000000,1434,12258,2.9406659603118896,isoflops,59.0,2249980416,3.049658723849224,2.938264476053034
7723008.0,8000000,1119,8890,2.840320348739624,isoflops,59.0,1273332480,2.9193038224427053,2.8594866050807686
15877200.0,16000000,818,5918,2.7724592685699463,isoflops,59.0,619638272,2.807115741981625,2.8039727383262725
29987232.0,32000000,620,4135,2.767575263977051,isoflops,59.0,328153600,2.770790314610175,2.7957222155650205
63790848.0,64000000,446,2699,2.8363614082336426,isoflops,59.0,154080512,2.826646083917722,2.838568712070198
121123072.0,128000000,338,1878,2.958954095840454,isoflops,59.0,81249792,2.961612161796583,2.924481043754615
252798416.0,256000000,245,1242,3.295794010162353,isoflops,59.0,38949120,3.193937677031145,3.0902251174879174
2197440.0,2000000,1056,8246,3.190852642059326,isoflops,15.0,1114595328,3.282732274260308,3.1682115006910365
4369568.0,4000000,783,5594,3.0600175857543945,isoflops,15.0,560653056,3.130498393046432,3.0594958782897628
7723008.0,8000000,611,4057,3.011070251464844,isoflops,15.0,317289856,3.04254381280393,3.0128107171064036
15877200.0,16000000,446,2705,3.008141040802002,isoflops,15.0,154423040,2.998028795735495,3.010319264750954
29987232.0,32000000,338,1886,3.058268547058105,isoflops,15.0,81595904,3.0425438572274173,3.0645109880583146
63790848.0,64000000,244,1232,3.2212471961975098,isoflops,15.0,38477824,3.211025654487761,3.2042387880472964
121123072.0,128000000,184,860,3.493612289428711,isoflops,15.0,20254720,3.4449235930856457,3.4014189411578797
252798416.0,256000000,134,564,3.829614400863648,isoflops,15.0,9673728,3.783226957683228,3.7384324937753144
911712.0,1000000,848,6201,3.5142624378204346,isoflops,3.7,673081344,3.5955775387001303,3.5080529966374434
2197440.0,2000000,578,3772,3.330634832382202,isoflops,3.7,279067648,3.3947927943972003,3.3294608734218762
4369568.0,4000000,428,2563,3.27344274520874,isoflops,3.7,140411392,3.2916970450650567,3.273537696798542
7723008.0,8000000,334,1856,3.3205113410949707,isoflops,3.7,79347712,3.25649758287787,3.2838862796850994
15877200.0,16000000,244,1237,3.373067617416382,isoflops,3.7,38633984,3.302683431266046,3.3750220027347924
29987232.0,32000000,185,862,3.523257255554199,isoflops,3.7,20412160,3.4518470151177727,3.5390419947125222
63790848.0,64000000,133,565,3.820277452468872,isoflops,3.7,9618560,3.757593906412234,3.851745949536168
217472.0,250000,865,6368,4.1438822746276855,isoflops,0.92,705064960,4.122128757039351,4.192523874470152
484096.0,500000,610,4055,3.869227886199951,isoflops,0.92,316614400,3.8721506344194543,3.8683677570144384
911712.0,1000000,463,2838,3.675530910491944,isoflops,0.92,168191232,3.72975349182991,3.70697165055497
2197440.0,2000000,316,1724,3.616412401199341,isoflops,0.92,69732352,3.5912462071560194,3.6154981529381995
4369568.0,4000000,234,1171,3.6576504707336426,isoflops,0.92,35073792,3.549487304278311,3.6533963726602647
7723008.0,8000000,183,847,3.763655185699463,isoflops,0.92,19840128,3.5865797320432122,3.7641389177453695
15877200.0,16000000,134,565,3.893961191177368,isoflops,0.92,9690880,3.759160118360633,4.019343268033785
