h_i_dict,loss,filter_mask
"{'N': 256000000, 'B': 134, 'K': 564, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.829614400863648,False
"{'N': 128000000, 'B': 338, 'K': 1878, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 59000000}",2.958954095840454,False
"{'N': 128000000, 'B': 184, 'K': 860, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.493612289428711,False
"{'N': 100000000, 'B': 12288, 'K': 39, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",5.849233627319336,False
"{'N': 100000000, 'B': 6144, 'K': 78, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",5.334190845489502,False
"{'N': 100000000, 'B': 3072, 'K': 156, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",4.382095813751221,False
"{'N': 100000000, 'B': 1536, 'K': 313, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",3.787111282348633,False
"{'N': 100000000, 'B': 768, 'K': 625, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",3.3055789470672607,False
"{'N': 100000000, 'B': 384, 'K': 1250, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",3.0801358222961426,False
"{'N': 100000000, 'B': 192, 'K': 2500, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",3.01828670501709,False
"{'N': 100000000, 'B': 96, 'K': 5000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 36800000}",3.037574052810669,True
