C,N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,actual_N,D,type,nqs_loss,N_raw,K_raw
920000.0,4000000,234,1171,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",4369568.0,35073792,nqs,3.576732113856768,4000000.0,1171.0
3680000.0,8000000,334,1856,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",7723008.0,79347712,nqs,3.265592631882643,8000000.0,1856.0
14700000.0,16000000,446,2705,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",15877200.0,154423040,nqs,3.017352727208575,16000000.0,2705.0
59000000.0,32000000,620,4135,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",29987232.0,328153600,nqs,2.783610770326182,32000000.0,4135.0
236000000.0,64000000,816,5903,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",63790848.0,616556544,nqs,2.5937573278569017,64000000.0,5903.0
944000000.0,128000000,1128,8993,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",121123072.0,1298445312,nqs,2.4080943776587977,128000000.0,8993.0
3780000000.0,256000000,1499,12992,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",252798416.0,2492801024,nqs,2.254300016486664,256000000.0,12992.0
15100000000.0,512000000,2003,18908,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",519186432.0,4847708672,nqs,2.1130930109445254,512000000.0,18908.0
60500000000.0,1024000000,2695,27794,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",1051646976.0,9587818240,nqs,1.982581739202454,1024000000.0,27794.0
920000.0,153614,128,60923,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,7798210,chinchilla_2,,,
3680000.0,336150,128,111363,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,14254541,chinchilla_2,,,
14700000.0,735024,128,203443,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,26040816,chinchilla_2,,,
59000000.0,1611522,128,372429,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,47671028,chinchilla_2,,,
236000000.0,3526452,128,680773,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,87139045,chinchilla_2,,,
944000000.0,7716844,128,1244403,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,159283605,chinchilla_2,,,
3780000000.0,16896671,128,2275723,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,291292582,chinchilla_2,,,
15100000000.0,36946911,128,4157455,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,532154318,chinchilla_2,,,
60500000000.0,80925555,128,7604987,2.0,0.1,0.0,step,sgd,"{""decay_at"": [0.5], ""decay_amt"": [1]}",,973438381,chinchilla_2,,,
