N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,nqs_loss,actual_N,NN_loss,D
10000000,384,320000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.7751222876633133,10171392.0,2.632584571838379,15728640000
10000000,768,160000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.7734510234118,10171392.0,2.6316826343536377,15728640000
10000000,1536,80000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.772881221497058,10171392.0,2.637547016143799,15728640000
10000000,3072,40000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.776638778234733,10171392.0,2.64854383468628,15728640000
10000000,6144,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.796659042984702,10171392.0,2.65970230102539,15728640000
10000000,12288,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.847873767770137,10171392.0,2.690234899520874,15728640000
10000000,24576,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,2.953488677419825,10171392.0,2.748302698135376,15728640000
10000000,49152,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,3.1195279383100853,10171392.0,2.8607027530670166,15728640000
10000000,98304,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,3.3519910962451576,10171392.0,3.063674211502075,15728640000
10000000,196608,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",940000000,3.65622228892311,10171392.0,3.3924367427825928,15728640000
