K,D,loss_level,type,B
40000,245760000,1.27,nn_data_point,3
21734,267075960,1.27,nn_data_point,6
9460,232503127,1.27,nn_data_point,12
7568,483020621,1.27,fitted_curve,31
7771,468014667,1.27,fitted_curve,29
7974,454611001,1.27,fitted_curve,28
8178,442565998,1.27,fitted_curve,26
8381,431683043,1.27,fitted_curve,25
8584,421801709,1.27,fitted_curve,24
8787,412789803,1.27,fitted_curve,23
8990,404537413,1.27,fitted_curve,22
9193,396952404,1.27,fitted_curve,21
9397,389956964,1.27,fitted_curve,20
9600,383484927,1.27,fitted_curve,20
9803,377479667,1.27,fitted_curve,19
10006,371892447,1.27,fitted_curve,18
10209,366681082,1.27,fitted_curve,18
10412,361808880,1.27,fitted_curve,17
10616,357243776,1.27,fitted_curve,16
10819,352957622,1.27,fitted_curve,16
11022,348925608,1.27,fitted_curve,15
11225,345125781,1.27,fitted_curve,15
11428,341538647,1.27,fitted_curve,15
11632,338146834,1.27,fitted_curve,14
11835,334934812,1.27,fitted_curve,14
12038,331888654,1.27,fitted_curve,13
12241,328995837,1.27,fitted_curve,13
12444,326245066,1.27,fitted_curve,13
12647,323626129,1.27,fitted_curve,12
12851,321129771,1.27,fitted_curve,12
13054,318747583,1.27,fitted_curve,12
13257,316471908,1.27,fitted_curve,12
13460,314295757,1.27,fitted_curve,11
13663,312212743,1.27,fitted_curve,11
13866,310217010,1.27,fitted_curve,11
14070,308303186,1.27,fitted_curve,11
14273,306466330,1.27,fitted_curve,10
14476,304701890,1.27,fitted_curve,10
14679,303005666,1.27,fitted_curve,10
14882,301373777,1.27,fitted_curve,10
15086,299802632,1.27,fitted_curve,10
15289,298288901,1.27,fitted_curve,10
15492,296829492,1.27,fitted_curve,9
15695,295421534,1.27,fitted_curve,9
15898,294062353,1.27,fitted_curve,9
16101,292749457,1.27,fitted_curve,9
16305,291480522,1.27,fitted_curve,9
16508,290253375,1.27,fitted_curve,9
16711,289065987,1.27,fitted_curve,8
16914,287916455,1.27,fitted_curve,8
17117,286802998,1.27,fitted_curve,8
17320,285723944,1.27,fitted_curve,8
17524,284677722,1.27,fitted_curve,8
17727,283662857,1.27,fitted_curve,8
17930,282677960,1.27,fitted_curve,8
18133,281721722,1.27,fitted_curve,8
18336,280792911,1.27,fitted_curve,7
18539,279890363,1.27,fitted_curve,7
18743,279012980,1.27,fitted_curve,7
18946,278159724,1.27,fitted_curve,7
19149,277329613,1.27,fitted_curve,7
19352,276521719,1.27,fitted_curve,7
19555,275735160,1.27,fitted_curve,7
19759,274969103,1.27,fitted_curve,7
19962,274222757,1.27,fitted_curve,7
20165,273495370,1.27,fitted_curve,7
20368,272786229,1.27,fitted_curve,7
20571,272094656,1.27,fitted_curve,6
20774,271420007,1.27,fitted_curve,6
20978,270761667,1.27,fitted_curve,6
21181,270119052,1.27,fitted_curve,6
21384,269491606,1.27,fitted_curve,6
21587,268878797,1.27,fitted_curve,6
21790,268280119,1.27,fitted_curve,6
21993,267695090,1.27,fitted_curve,6
22197,267123247,1.27,fitted_curve,6
22400,266564150,1.27,fitted_curve,6
22603,266017377,1.27,fitted_curve,6
22806,265482526,1.27,fitted_curve,6
23009,264959210,1.27,fitted_curve,6
23213,264447061,1.27,fitted_curve,6
23416,263945724,1.27,fitted_curve,6
23619,263454861,1.27,fitted_curve,5
23822,262974148,1.27,fitted_curve,5
24025,262503271,1.27,fitted_curve,5
24228,262041934,1.27,fitted_curve,5
24432,261589848,1.27,fitted_curve,5
24635,261146738,1.27,fitted_curve,5
24838,260712340,1.27,fitted_curve,5
25041,260286398,1.27,fitted_curve,5
25244,259868669,1.27,fitted_curve,5
25447,259458918,1.27,fitted_curve,5
25651,259056917,1.27,fitted_curve,5
25854,258662449,1.27,fitted_curve,5
26057,258275304,1.27,fitted_curve,5
26260,257895281,1.27,fitted_curve,5
26463,257522184,1.27,fitted_curve,5
26667,257155826,1.27,fitted_curve,5
26870,256796026,1.27,fitted_curve,5
27073,256442609,1.27,fitted_curve,5
27276,256095407,1.27,fitted_curve,5
27479,255754257,1.27,fitted_curve,5
27682,255419003,1.27,fitted_curve,5
27886,255089494,1.27,fitted_curve,4
28089,254765582,1.27,fitted_curve,4
28292,254447126,1.27,fitted_curve,4
28495,254133989,1.27,fitted_curve,4
28698,253826040,1.27,fitted_curve,4
28901,253523151,1.27,fitted_curve,4
29105,253225197,1.27,fitted_curve,4
29308,252932060,1.27,fitted_curve,4
29511,252643623,1.27,fitted_curve,4
29714,252359774,1.27,fitted_curve,4
29917,252080404,1.27,fitted_curve,4
30121,251805409,1.27,fitted_curve,4
30324,251534686,1.27,fitted_curve,4
30527,251268137,1.27,fitted_curve,4
30730,251005666,1.27,fitted_curve,4
30933,250747180,1.27,fitted_curve,4
31136,250492589,1.27,fitted_curve,4
31340,250241805,1.27,fitted_curve,4
31543,249994744,1.27,fitted_curve,4
31746,249751323,1.27,fitted_curve,4
31949,249511463,1.27,fitted_curve,4
32152,249275086,1.27,fitted_curve,4
32355,249042117,1.27,fitted_curve,4
32559,248812482,1.27,fitted_curve,4
32762,248586111,1.27,fitted_curve,4
32965,248362934,1.27,fitted_curve,4
33168,248142884,1.27,fitted_curve,4
33371,247925897,1.27,fitted_curve,4
33575,247711908,1.27,fitted_curve,4
33778,247500855,1.27,fitted_curve,4
33981,247292679,1.27,fitted_curve,4
34184,247087322,1.27,fitted_curve,4
34387,246884726,1.27,fitted_curve,4
34590,246684837,1.27,fitted_curve,3
34794,246487599,1.27,fitted_curve,3
34997,246292961,1.27,fitted_curve,3
35200,246100873,1.27,fitted_curve,3
35403,245911283,1.27,fitted_curve,3
35606,245724143,1.27,fitted_curve,3
35809,245539408,1.27,fitted_curve,3
36013,245357029,1.27,fitted_curve,3
36216,245176963,1.27,fitted_curve,3
36419,244999166,1.27,fitted_curve,3
36622,244823595,1.27,fitted_curve,3
36825,244650209,1.27,fitted_curve,3
37029,244478967,1.27,fitted_curve,3
37232,244309829,1.27,fitted_curve,3
37435,244142758,1.27,fitted_curve,3
37638,243977715,1.27,fitted_curve,3
37841,243814663,1.27,fitted_curve,3
38044,243653568,1.27,fitted_curve,3
38248,243494393,1.27,fitted_curve,3
38451,243337105,1.27,fitted_curve,3
38654,243181671,1.27,fitted_curve,3
38857,243028057,1.27,fitted_curve,3
39060,242876232,1.27,fitted_curve,3
