N,B,K,C,D,nqs_loss,nn_loss,actual_N,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
16000000,2734,28318,944000000,9909940736,2.794118962279599,2.7292771339416504,16000000.0,isoflop,2.925456956474542,test,2.2980049661982473e-05,6.89139048849145e-05
32000000,2073,19776,944000000,5247442944,2.702763268074782,2.640136241912842,32000000.0,isoflop,2.8910847721118498,test,2.2944159668646437e-05,9.030126275688671e-05
64000000,1492,12918,944000000,2467027968,2.6694913222973047,2.6178200244903564,64000000.0,isoflop,2.8912902170177266,test,1.904601856356053e-05,9.886092466886148e-05
128000000,1128,8993,944000000,1298445312,2.697817200865483,2.6714842319488525,128000000.0,isoflop,2.9084064998995567,test,9.30879184215544e-06,8.447112658547467e-05
256000000,819,5940,944000000,622702080,2.810852059239745,3.018099308013916,256000000.0,isoflop,2.9630081403605883,test,7.063960373285288e-05,1.7922249119146805e-05
512000000,599,3952,944000000,303007744,2.9844347675611536,3.362227201461792,512000000.0,isoflop,3.044813352324919,test,0.00011869324064677906,9.866400912183865e-05
8000000,2046,19444,236000000,5092150272,2.936306018959248,2.908952236175537,8000000.0,isoflop,3.0140550826455565,test,8.859375160960636e-06,3.4993415582543044e-05
16000000,1495,12943,236000000,2476772480,2.828563553005659,2.854283332824707,16000000.0,isoflop,2.9877380752900367,test,8.551785468676464e-06,4.519581473711648e-05
32000000,1133,9042,236000000,1311307008,2.779719079341662,2.807368040084839,32000000.0,isoflop,2.974289411469823,test,9.397531884539567e-06,5.725775329554378e-05
64000000,816,5903,236000000,616556544,2.8256463727881003,2.863724708557129,64000000.0,isoflop,3.008606992805912,test,1.2885980211196192e-05,4.885405538667714e-05
128000000,617,4110,236000000,324591360,2.942883774982928,3.048164367675781,128000000.0,isoflop,3.065507654483363,test,3.4649586322485104e-05,5.173622421369595e-06
256000000,448,2713,236000000,155574272,3.154650641023653,3.4109556674957275,256000000.0,isoflop,3.182668633444232,test,7.761474841382116e-05,6.877246865548731e-05
2000000,1934,18074,59000000,4474254848,3.29916101923219,3.214235544204712,2000000.0,isoflop,3.2114756295293887,train,2.5578647988923676e-05,3.6895972258831625e-07
4000000,1434,12258,59000000,2249980416,3.1143242991239983,3.1474852561950684,4000000.0,isoflop,3.164651066712793,train,1.0091592344757483e-05,4.93899939962067e-06
8000000,1119,8890,59000000,1273332480,2.981821514390722,3.0349509716033936,8000000.0,isoflop,3.09835208462636,train,1.7160909827175163e-05,2.0175114495667835e-05
16000000,818,5918,59000000,619638272,2.9301156012879472,3.040252685546875,16000000.0,isoflop,3.1047255924160275,train,3.6398755594356736e-05,2.0484703237048264e-05
32000000,620,4135,59000000,328153600,2.9612660097684698,3.070162057876587,32000000.0,isoflop,3.130526094087542,train,3.561346488915035e-05,1.897072381829118e-05
64000000,446,2699,59000000,154080512,3.1203580975405174,3.226656198501587,64000000.0,isoflop,3.229203806289468,train,3.29985982610847e-05,3.114490195987442e-07
128000000,338,1878,59000000,81249792,3.3434395914499824,3.5167038440704346,128000000.0,isoflop,3.3604834360106475,train,5.002404808224531e-05,4.493929958118254e-05
2000000,1056,8246,14700000,1114595328,3.3329843162843136,3.437307834625244,2000000.0,isoflop,3.3789789451713057,train,3.0320465046336622e-05,1.6614982145638225e-05
4000000,783,5594,14700000,560653056,3.193294467969872,3.3044707775115967,4000000.0,isoflop,3.287344003771286,train,3.372320018999936e-05,4.696387595007401e-06
8000000,611,4057,14700000,317289856,3.116228414640584,3.2586281299591064,8000000.0,isoflop,3.2573536353673838,train,4.418285865664989e-05,7.651494668234629e-08
16000000,446,2705,14700000,154423040,3.158283669176182,3.315426588058472,16000000.0,isoflop,3.3254144857067542,train,4.805756216161522e-05,2.5080241548882116e-06
32000000,338,1886,14700000,81595904,3.301851019293532,3.439581871032715,32000000.0,isoflop,3.425946383069142,train,4.0366688723331105e-05,3.4721651087589737e-06
64000000,244,1232,14700000,38477824,3.6020412764645937,3.7469518184661865,64000000.0,isoflop,3.644281438736098,train,3.894195502647485e-05,2.728345115538472e-05
128000000,184,860,14700000,20254720,3.96194957871229,4.072544097900391,128000000.0,isoflop,3.916927742139301,train,2.703166767480941e-05,3.846028238113991e-05
256000000,134,564,14700000,9673728,4.458588251926151,4.571454048156738,256000000.0,isoflop,4.375439914610788,train,2.4499146281682317e-05,4.332426009756002e-05
1000000,848,6201,3680000,673081344,3.594907802177222,3.676305532455444,1000000.0,isoflop,3.6038885855781664,train,2.1889971788006056e-05,1.9394891339468977e-05
2000000,578,3772,3680000,279067648,3.46148755897322,3.5742123126983643,2000000.0,isoflop,3.5471346559199874,train,3.154639274179288e-05,7.104681359292042e-06
4000000,428,2563,3680000,140411392,3.391740629072413,3.52747106552124,4000000.0,isoflop,3.517216718752699,train,3.873795264553531e-05,2.411230227629513e-06
8000000,334,1856,3680000,79347712,3.394954647712157,3.553840398788452,8000000.0,isoflop,3.5556732460985505,train,4.523841886800145e-05,1.329238169652369e-07
16000000,244,1237,3680000,38633984,3.5674910437696434,3.729217290878296,16000000.0,isoflop,3.7393352901760606,train,4.383581018866284e-05,2.209495682851726e-06
32000000,185,862,3680000,20412160,3.854485403662265,3.999472141265869,32000000.0,isoflop,3.979432215412009,train,3.6424877648632394e-05,4.5232380529517945e-06
64000000,133,565,3680000,9618560,4.335657044641387,4.422861099243164,64000000.0,isoflop,4.4242432266429965,train,1.941362805888408e-05,4.881169163808181e-08
250000,865,6368,920000,705064960,4.199984782461044,4.334916591644287,250000.0,isoflop,4.34372001389598,train,3.112146730637771e-05,1.5287576658164497e-06
500000,610,4055,920000,316614400,3.940280925175459,4.014729022979736,500000.0,isoflop,3.973268948590147,train,1.8217832383875255e-05,9.88068533397496e-06
1000000,463,2838,920000,168191232,3.774165970586457,3.813458442687988,1000000.0,isoflop,3.8158664715331376,train,9.857081795274947e-06,1.9924212852141765e-07
2000000,316,1724,920000,69732352,3.7414248823527103,3.817271709442138,2000000.0,isoflop,3.863661216153083,train,1.9569431803005023e-05,1.1579280267872416e-05
4000000,234,1171,920000,35073792,3.7635111613686254,3.8766448497772217,4000000.0,isoflop,3.950115627411683,train,2.9117708925604448e-05,1.8274801144898266e-05
8000000,183,847,920000,19840128,3.8778480733059135,4.020970344543457,8000000.0,isoflop,4.116510219302525,train,3.574287324883291e-05,2.2982517532121383e-05
16000000,134,565,920000,9690880,4.222243228411222,4.362186431884766,16000000.0,isoflop,4.490440408877716,train,3.2106849339385404e-05,2.8477376686520228e-05
10000000,48,40000,15000000,245760000,3.636875009496016,3.284696817398072,10699888.0,isotoken,3.270826784148034,train,0.00010135044439203051,3.7315625080815434e-06
10000000,96,20000,15000000,245760000,3.307422512762842,3.265551805496216,10699888.0,isotoken,3.270826784148034,train,1.2240434270440693e-05,1.1140374137254555e-06
10000000,192,10000,15000000,245760000,3.145999618942766,3.255350112915039,10699888.0,isotoken,3.270826784148034,train,3.366814793592238e-05,4.2429606920803555e-06
10000000,384,5000,15000000,245760000,3.102406866143185,3.26139760017395,10699888.0,isotoken,3.270826784148034,train,4.9477596542531756e-05,2.386976921913975e-06
