N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
250000,865,6368,920000,217472.0,705064960,4.065728754510561,4.1438822746276855,isoflop,4.192523874470152,train,1.8540093587122442e-05,1.1169813344203251e-05
250000,865,6368,920000,217472.0,705064960,4.065728754510561,4.1438822746276855,isoflop,4.192523874470152,train,1.8540093587122442e-05,1.1169813344203251e-05
500000,610,4055,920000,484096.0,316614400,3.860857780199761,3.869227886199951,isoflop,3.8683677570144384,train,1.6655928879920072e-06,2.471412887466968e-08
500000,610,4055,920000,484096.0,316614400,3.860857780199761,3.869227886199951,isoflop,3.8683677570144384,train,1.6655928879920072e-06,2.471412887466968e-08
1000000,463,2838,920000,911712.0,168191232,3.6996873096734433,3.675530910491944,isoflop,3.70697165055497,train,6.050717509204329e-06,8.01768892485083e-06
1000000,463,2838,920000,911712.0,168191232,3.6996873096734433,3.675530910491944,isoflop,3.70697165055497,train,6.050717509204329e-06,8.01768892485083e-06
1000000,848,6201,3680000,911712.0,673081344,3.56469611503175,3.5142624378204346,isoflop,3.5080529966374434,train,1.3749138531063909e-05,1.2684887155267059e-06
1000000,848,6201,3680000,911712.0,673081344,3.56469611503175,3.5142624378204346,isoflop,3.5080529966374434,train,1.3749138531063909e-05,1.2684887155267059e-06
2000000,316,1724,920000,2197440.0,69732352,3.618452170479783,3.616412401199341,isoflop,3.6154981529382,train,1.5897590295380317e-07,3.196334292215991e-08
2000000,316,1724,920000,2197440.0,69732352,3.618452170479783,3.616412401199341,isoflop,3.6154981529382,train,1.5897590295380317e-07,3.196334292215991e-08
2000000,578,3772,3680000,2197440.0,279067648,3.4229291164724147,3.330634832382202,isoflop,3.329460873421876,train,2.683372514309651e-05,6.214052161996977e-08
2000000,578,3772,3680000,2197440.0,279067648,3.4229291164724147,3.330634832382202,isoflop,3.329460873421876,train,2.683372514309651e-05,6.214052161996977e-08
2000000,1056,8246,14700000,2197440.0,1114595328,3.311836257506533,3.190852642059326,isoflop,3.1682115006910365,train,3.671462914795004e-05,6.6209336887614325e-06
2000000,1056,8246,14700000,2197440.0,1114595328,3.311836257506533,3.190852642059326,isoflop,3.1682115006910365,train,3.671462914795004e-05,6.6209336887614325e-06
2000000,1934,18074,59000000,2197440.0,4474254848,3.2738576074754526,3.1012086868286133,isoflop,3.076891044867474,train,5.3677051612501085e-05,7.372248297078554e-06
4000000,234,1171,920000,4369568.0,35073792,3.569786660511661,3.6576504707336426,isoflop,3.6533963726602647,train,2.3815158343932053e-05,6.637453964155054e-07
4000000,234,1171,920000,4369568.0,35073792,3.569786660511661,3.6576504707336426,isoflop,3.6533963726602647,train,2.3815158343932053e-05,6.637453964155054e-07
4000000,428,2563,3680000,4369568.0,140411392,3.3145407031730203,3.27344274520874,isoflop,3.273537696798542,train,1.1976804603535952e-05,4.2068050825326776e-10
4000000,428,2563,3680000,4369568.0,140411392,3.3145407031730203,3.27344274520874,isoflop,3.273537696798542,train,1.1976804603535952e-05,4.2068050825326776e-10
